,Unnamed: 0,delivery_id,customer_id,courier_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_courier_arrived_at_pickup,when_the_courier_left_pickup,when_the_courier_arrived_at_dropoff,distance_crossed,courrier_timing,distance_m,timing_s,courrier_performance
0,4,1327707,122609,118095,bicycle,Blue Ribbon Sushi,Japanese,Spicy Tuna & Tempura Flakes,2,Maki (Special Rolls),03:45.0,40.72610966,-74.00249186,40.7093232,-74.0158665,07:18.5,14:42.7,25:19.4,48:27.2,2.179897838,1 days 06:32:00,217.9897838,109920.0,1.9831676109898109
1,26,1459871,391543,7833,bicycle,Friedman's Lunch,Breakfast,Sweet Potato Fries,1,Market Sides,09:19.6,40.74268064,-74.00623583,40.74012562,-74.00468661,14:29.8,30:04.3,41:53.9,00:47:32,0.312451927,0 days 21:12:06,31.2451927,76326.0,0.40936499620050837
2,27,1419674,81591,96818,bicycle,The Grey Dog - University,Coffee,Three Eggs Any Style,1,Breakfast,07:40.6,40.73378729,-73.99303526,40.74427388,-73.98045875,00:05:55,18:07.1,34:28.2,50:48.9,1.576253452,1 days 04:32:08,157.6253452,102728.0,1.5343951522467099
3,29,1282272,97991,72941,bicycle,Blue Ribbon Sushi Bar & Grill,Japanese,Unagi,1,Taiseyo (Atlantic Ocean),10:21.7,40.76765291,-73.98292546,40.74882755,-73.99013895,00:02:41,11:48.2,28:00.7,45:08.7,2.177474018,1 days 02:15:02,217.74740179999998,94502.0,2.30415654483503
4,32,1467996,301380,142394,bicycle,ilili Restaurant,Middle Eastern,Hommus,1,Dips,05:17.0,40.74418795,-73.98753094,40.734994,-73.987709,18:37.4,30:46.4,46:07.1,57:18.1,1.0210886,0 days 23:20:00,102.10885999999999,84000.0,1.2155816666666666
5,35,1314550,348787,119813,bicycle,Otto Enoteca Pizzeria,Italian,Lentils ���Toscana�۝,1,Vegetables,22:42.9,40.73206376,-73.99615467,40.76758179,-73.98370418,40:38.8,00:49:50,27:58.5,55:56.8,4.081992593,1 days 13:09:05,408.1992593,133745.0,3.052071174997196
6,46,1379189,47440,112646,bicycle,Bareburger,Burger,Barest Burger,1,Bareburgers,06:25.1,40.72847826,-73.99839184,40.7151704,-74.0116009,54:08.3,57:53.9,08:40.4,23:14.7,1.851868362,0 days 18:19:09,185.18683620000002,65949.0,2.8080309966792525
7,50,1322133,49104,156557,car,Empanada Mama (closed),Mexican,Reggaeton,1,Wheat Flour,05:35.0,40.764217,-73.988321,40.74789673,-74.00360827,10:10.3,21:06.7,33:26.1,42:17.5,2.225110587,0 days 19:47:08,222.5110587,71228.0,3.1239268082776435
8,57,1401304,68116,67103,truck,Blue Ribbon Sushi Izakaya,Japanese,Rock Shrimp & Crispy Garlic Teriyaki,1,Kushi Yaki (Skewers),08:13.9,40.72197958,-73.98814821,40.72999941,-73.9936877,30:30.5,47:48.3,01:10.3,22:12.8,1.00606548,1 days 14:20:03,100.60654799999999,138003.0,0.729017108323732
9,67,1325129,41991,108647,bicycle,Blue Ribbon Sushi Bar & Grill,Japanese,Tamago,1,Taiheiyo (Pacific Ocean),12:20.8,40.76765291,-73.98292546,40.763269,-73.963113,01:43.8,23:34.1,38:53.5,49:00.3,1.742219895,1 days 07:57:01,174.2219895,115021.0,1.5146972248545918
10,68,1439884,103822,134198,bicycle,Luke's Lobster,Seafood,Lobster Roll,1,Rolls,06:01.5,40.726823,-73.98547098,40.7460604,-73.9946738,08:47.2,18:21.9,26:12.5,44:21.9,2.273328181,1 days 03:44:01,227.3328181,99841.0,2.2769485291613667
11,75,1420966,122609,28765,bicycle,Blue Ribbon Sushi,Japanese,Spicy Tuna & Tempura Flakes,1,Maki (Special Rolls),10:16.1,40.72610966,-74.00249186,40.7093232,-74.0158665,03:34.4,10:10.4,22:32.6,37:03.4,2.179897838,0 days 21:06:08,217.9897838,75968.0,2.8694948372999156
12,76,1286764,141596,139444,bicycle,Peacefood Cafe,Vegan,Pan-seared French Horn Mushrooms,1,Panini,15:44.1,40.78516004,-73.97691647,40.800023,-73.971317,06:43.6,10:21.1,42:37.2,54:57.8,1.716854023,0 days 15:58:01,171.6854023,57481.0,2.986820032706459
13,81,1375520,81605,91735,bicycle,Veselka,Russian,Soft Drink,1,Beverages,05:28.1,40.72913623,-73.98697151,40.7363529,-73.9843794,00:45:18,52:59.6,00:57.2,11:10.1,0.830777706,0 days 17:54:05,83.0777706,64445.0,1.2891267064939094
14,82,1314550,348787,119813,bicycle,Otto Enoteca Pizzeria,Italian,Prosciutto Arugula,1,Pizzas,22:42.9,40.73206376,-73.99615467,40.76758179,-73.98370418,40:38.8,00:49:50,27:58.5,55:56.8,4.081992593,1 days 13:09:05,408.1992593,133745.0,3.052071174997196
15,86,1416043,133844,157415,car,Parm,Italian,House Roasted Turkey,1,Sandwiches,02:11.0,40.72301983,-73.995854,40.71882111,-73.98280562,23:42.7,28:32.4,33:23.6,50:58.5,1.196990274,0 days 22:24:06,119.6990274,80646.0,1.4842525035339633
16,88,1294451,148459,150915,bicycle,The Kati Roll Company,Indian,Chicken Tikka Roll,1,Rolls,03:34.7,40.72951,-74.000865,40.7321662,-73.9886273,19:02.2,20:16.3,29:35.9,57:10.6,1.075055728,1 days 04:48:08,107.5055728,103688.0,1.0368178844224982
17,101,1469623,400766,143085,car,The Meatball Shop,Italian,Vegetable,1,Naked Balls,06:10.1,40.77149125,-73.95633415,40.8089292,-73.9613646,40:26.6,49:21.6,17:28.4,45:26.2,4.179102361,1 days 12:52:08,417.9102361,132728.0,3.1486215124163706
18,103,1409918,370405,124514,bicycle,Haveli Indian Restaurant,Indian,Shahi Korma,1,Traditional Dishes,03:51.2,40.7271708,-73.9885098,40.741234,-74.000565,37:55.7,40:36.5,02:27.1,17:35.6,1.864378302,0 days 17:49:03,186.4378302,64143.0,2.9065966699406016
19,104,1356155,376993,133293,bicycle,Emporio,Italian,Spicy Sopressata,1,Pizza,10:47.5,40.72263479,-73.99535031,40.72413127,-73.99993035,46:41.1,47:43.1,10:02.7,21:25.1,0.421124668,0 days 12:24:04,42.1124668,44644.0,0.9432951079652361
20,109,1336187,297130,157975,bicycle,Blue Ribbon Sushi,Japanese,King Crab,1,Taiheiyo (Pacific Ocean),04:27.2,40.72610966,-74.00249186,40.735797,-74.000366,40:43.5,48:58.4,09:32.4,17:00.8,1.090653279,0 days 15:43:03,109.06532790000001,56583.0,1.9275281957478398
21,111,1479832,60477,61900,bicycle,The Grey Dog - Mulberry,Coffee,Peanut Butter & Jelly,1,Michigan Sandwiches,05:57.2,40.723096,-73.995774,40.727405,-73.991802,26:21.4,28:32.8,46:52.2,54:52.1,0.584445662,0 days 10:11:03,58.444566200000004,36663.0,1.5941021247579303
22,113,1418789,97079,39733,bicycle,Donburi-ya,Japanese,Jidori Katsu-Don,1,Donburi Dinner,04:18.0,40.75446491,-73.9731457,40.76460273,-73.98010481,03:51.2,13:41.8,35:01.7,45:42.2,1.269932061,0 days 20:31:01,126.9932061,73861.0,1.7193540041429172
23,115,1365600,140521,43955,bicycle,sweetgreen,Salad,"Apples, Pears + Organic Cheddar",2,Signatures,09:09.0,40.72132319,-74.00973201,40.7246814,-73.9954465,18:23.5,51:07.9,00:04:28,15:00.4,1.26323267,1 days 19:16:08,126.323267,155768.0,0.8109705908787428
24,117,1295658,350083,81503,car,Sushi of Gari 46,Sushi,Yellowtail Sushi,2,Sushi,05:57.7,40.76065444,-73.98958275,40.7951002,-73.9655589,07:00.8,18:18.4,28:05.8,42:58.2,4.329542367,1 days 02:10:00,432.9542367,94200.0,4.5961171624203825
25,125,1328988,255435,144384,bicycle,Lure Fishbar,Seafood,Organic Farro Salad,1,Lunch Soups & Salads,06:00.7,40.72463457,-73.99840236,40.7435682,-73.9724053,49:31.8,00:54:59,15:19.2,34:20.7,3.040280879,1 days 00:28:07,304.0280879,88087.0,3.4514524038734433
26,126,1386459,331143,104533,bicycle,Waverly Diner,American,Jalape̱o Poppers,2,Appetizers & Finger Foods,06:38.1,40.73301222,-74.00005605,40.732486,-73.996585,14:29.8,36:13.1,52:07.8,55:43.3,0.298980147,1 days 01:18:08,29.898014699999997,91088.0,0.32823220072896536
27,127,1362953,126204,104989,bicycle,Pio Pio,South American,Ensalada de Avocado,1,La Primaveras,05:23.1,40.74551114,-73.97760519,40.7644118,-73.9639728,07:35.9,28:11.4,40:31.6,55:37.5,2.393878841,1 days 11:41:04,239.38788409999998,128464.0,1.863462791910574
28,133,1413712,367800,43955,bicycle,sweetgreen,Salad,Organic Butternut Squash (Big),1,Soup,06:54.3,40.74507859,-73.98882151,40.7589426,-73.9793564,09:28.6,13:18.7,39:08.7,52:24.8,1.734718256,0 days 17:06:02,173.47182560000002,61562.0,2.8178393424515122
29,138,1338571,62929,30743,bicycle,Bareburger,Burger,Barest Burger,1,Bareburgers,06:55.4,40.72847826,-73.99839184,40.721723,-74.004688,34:20.8,40:20.1,52:57.7,58:50.1,0.919611725,0 days 11:51:07,91.9611725,42667.0,2.155323142006703
30,142,1416029,173667,124897,bicycle,Osteria Morini,Italian,Branzino,1,Entrees,03:59.5,40.72195256,-73.997737,40.71876068,-74.00253589,23:42.1,26:21.9,40:40.1,46:10.5,0.538546911,0 days 08:10:02,53.8546911,29402.0,1.8316676110468675
31,148,1345722,42153,30743,bicycle,Blue Smoke,BBQ,North Carolina Salt Peanuts,1,Starters & Salads,13:58.1,40.742334,-73.9838552,40.7382555,-74.0059417,28:17.9,39:38.6,00:01:38,14:29.1,1.919718514,1 days 00:11:08,191.9718514,87068.0,2.204849673818165
