delivery_id,customer_id,courier_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_courier_arrived_at_pickup,when_the_courier_left_pickup,when_the_courier_arrived_at_dropoff
1479807,66373,178325,bicycle,The Mercer Kitchen,,Organic Salmon,1,Lunch/Dinner (Entree),,40.72474364,-73.99866156,40.72206901,-73.99674398,20:56.4,41:04.0,07:24.1,10:55.3
1490802,70541,161459,bicycle,Village Smoke Shop,,,,,,40.73101018,-74.00122099,40.7746615,-73.9635456,49:54.2,49:22.2,22:12.2,43:47.2
1302105,52832,41959,bicycle,ilili Restaurant,Middle Eastern,Fattoush,2,Salad,05:01.3,40.74418795,-73.98753094,40.7803554,-73.960014,13:30.4,14:39.1,56:29.1,20:58.5
1341387,280884,67899,car,Rubirosa,Italian,Large Classic,1,Pizza,07:10.8,40.72274859,-73.99606192,40.77769134,-73.95522751,21:32.5,00:50.3,14:21.6,50:30.5
1477961,62661,156557,car,'Essen,,,,,,40.7597662,-73.97392052,40.7668419,-73.968092,10:02.3,14:04.6,30:24.1,34:08.5
1281434,64151,133293,bicycle,Mile End Deli,Deli,Reuben,1,Sandwiches,08:00.6,40.72588469,-73.99244785,40.7148434,-74.0062724,35:08.5,06:47.4,17:08.2,25:42.1
1452194,100739,172301,car,SMOKE N VAPE,,,,,,40.76182097,-73.99013042,40.772259,-73.953333,20:16.8,29:34.8,49:54.2,12:29.1
1409759,176622,38597,bicycle,Cafe Mogador,Middle Eastern,Chicken,1,Grill,03:49.3,40.727293,-73.984517,40.72916455,-73.97926418,13:48.8,14:34.6,34:25.0,38:31.6
1440944,164776,30743,bicycle,TAO,Japanese,Hong Kong XO Shrimp with Long Beans and Jasmine Rice,1,Noble Treasures form the Sea,06:30.7,40.76285776,-73.971619,40.7323101,-73.9959861,37:23.2,35:36.6,00:28.9,19:45.3
1309736,114114,64664,bicycle,sweetgreen,Salad,Guacamole Greens,1,Signatures,03:17.6,40.74507859,-73.98882151,40.7369952,-73.9791876,51:33.1,53:20.9,11:40.8,21:00.3
1379885,61889,105427,bicycle,Parm,Italian,Buffalo Cucumbers,1,Vegetables,03:40.1,40.72301983,-73.995854,40.7320923,-74.0048976,23:06.7,20:37.9,47:27.8,58:03.8
1486342,116293,48430,bicycle,Hu Kitchen,Gluten-Free,Wild Line-Caught Tuna Salad,1,Prepared Food,,40.73567676,-73.99382953,40.7275977,-74.0051425,54:00.8,51:27.1,12:47.2,22:23.5
1464108,351337,104533,bicycle,Duane Reade,Drug Store,,,,,40.759667,-73.991911,40.75860421,-73.99135099,47:59.0,,,16:32.5
1278920,301695,62487,car,sweetgreen,Salad,Guacamole Greens,1,Signatures,02:05.5,40.74507859,-73.98882151,40.7506674,-73.98609868,30:36.4,11:58.5,17:17.6,35:11.1
1350938,42408,81285,bicycle,UVA Wine Bar & Restaurant,Italian,Sheep's Ricotta Cheese & Black Truffle Honey,1,Bruschette (dinner),,40.77225672,-73.95570275,40.78039734,-73.95572606,10:54.2,25:20.8,50:09.0,00:25.6
1295111,52832,150915,bicycle,Co.,Pizza,Pizza Bianca,1,Bread,07:55.9,40.74716991,-74.00063565,40.778028,-73.953851,57:38.8,00:39.6,28:36.4,11:35.3
1368500,145389,66416,bicycle,Westville Hudson,American,Grilled Cheese Sandwich,1,Sandwiches,17:50.2,40.72703111,-74.00751114,40.729171,-73.999359,59:44.6,27:10.3,36:00.3,42:35.3
1278546,103934,113563,bicycle,Eisenberg's Sandwich Shop,,Arnold Palmer,1,Drinks,04:00.9,40.74088421,-73.98983002,40.75612372,-73.98283412,24:39.7,45:49.5,00:09.5,18:07.4
1396266,54308,116326,car,Liquiteria,Juice Bar,,,,,40.73033233,-73.98629431,40.7239485,-74.0034475,28:16.1,29:40.9,52:16.1,02:36.8
1463780,263495,175555,car,Walgreens,Drug Store,,,,,40.76750087,-73.95920983,40.7668663,-73.960956,28:07.7,31:50.9,02:38.6,03:37.2
1449881,397261,39733,bicycle,Blue Ribbon Fried Chicken,American,Tender Supreme,1,Combos,,40.72434,-73.99096,40.7151927,-73.9977764,45:01.4,47:19.5,58:09.6,04:43.4
1447282,92688,9549,bicycle,Trader Joe's,Grocery Store,Chocolate Covered Espresso Beans,1,"Cookies, Snacks & Candy",,40.73363378,-73.98776924,40.720242,-73.995538,06:18.9,34:47.1,12:36.7,27:21.1
1278811,151789,138560,bicycle,sweetgreen,Salad,Kale Caesar,1,Signatures,09:22.0,40.74507859,-73.98882151,40.7506213,-73.9862915,08:20.6,34:01.2,42:20.8,47:22.4
1473216,245311,123844,bicycle,sweetgreen,Salad,Salad,1,Make Your Own,06:17.1,40.74507859,-73.98882151,40.750086,-73.9872181,32:33.5,30:01.4,58:17.6,05:30.1
1431475,91977,167596,bicycle,Old Homestead Steakhouse,Steak,"String Beans, Caramelized Onions, Pancetta",1,Side Offerings (dinner),07:23.6,40.74117178,-74.00488792,40.752908,-74.003664,45:28.0,32:10.0,43:34.5,56:56.8
1288732,42379,144957,bicycle,Casa,Breakfast,Canjinha de Galinha,2,Sopas (Soups),05:14.6,40.73152429,-74.0048994,40.701854,-73.989809,07:40.7,10:47.6,32:28.6,17:24.3
1274310,89844,31859,bicycle,Five Guys Burgers and Fries,Burger,Bacon Cheeseburger,1,Burgers,,40.80440427,-73.96643044,40.792338,-73.974024,42:31.7,46:43.9,01:04.1,10:45.8
1449731,355592,169794,bicycle,Caf̩ China,Chinese,Lightly Sauteed Lotus Root,1,Vegetables,09:58.7,40.749902,-73.982187,40.7296997,-73.9915646,31:06.7,33:39.5,03:07.6,23:41.5
1476453,143926,175912,car,Joya,Thai,Fried Spring Rolls,1,Appetizers,04:35.3,40.6867331,-73.99375492,40.7023413,-73.9894706,30:17.2,46:39.9,12:00.2,44:30.5
1403324,48268,120179,car,i Trulli,Italian,Carpese,1,Antipasti,,40.74217301,-73.98365433,40.706335,-74.016875,22:42.3,45:22.6,09:12.4,33:39.0
1275121,91981,119255,walker,Chloe's Soft Serve Fruit Co.,Dessert,Soft Serve Fruit,1,Soft Serve Fruit,,40.73735617,-73.99066687,40.740235,-73.979647,50:21.8,58:36.5,10:35.5,23:00.9
1284931,289631,143085,car,RedFarm Broadway,Chinese,Mushroom & Vegetable Spring Rolls,1,Starters & Salads,17:08.8,40.7821167,-73.9807391,40.77871651,-73.98255405,50:50.0,04:50.3,24:40.1,33:10.0
1400885,59181,114469,bicycle,RedFarm Hudson,Chinese,Three Chili Chicken,1,Mains,05:20.0,40.73421385,-74.00620203,40.721108,-74.002622,04:56.1,28:18.7,48:08.6,59:03.0
1461148,355052,31230,car,China Blue,,,,,08:25.3,40.7241309,-74.0098748,40.7054723,-74.0084678,01:18.0,10:34.0,27:25.0,39:11.7
1402681,263426,17402,bicycle,Blue Ribbon Sushi Izakaya,Japanese,Uni,4,Taiseyo (Atlantic Ocean),35:23.9,40.72197958,-73.98814821,40.7170753,-74.004833,47:57.2,10:28.7,39:43.4,57:01.6
1431030,54110,89004,bicycle,Parm,Italian,Sausage and Peppers,1,Platters,02:44.4,40.72301983,-73.995854,40.743635,-74.006331,37:19.0,51:44.6,10:30.1,20:31.6
1375035,52031,144719,bicycle,Han Dynasty,Chinese,Vegetable Spring Rolls,1,Kids/Baby Adults,05:30.5,40.732213,-73.988072,40.7397837,-73.9919662,48:04.1,11:15.9,21:38.2,38:29.0
1314614,48871,153257,bicycle,Pio Pio,South American,Juanita's Chicken,1,De Fondo,19:11.0,40.74551114,-73.97760519,40.759049,-73.965392,51:41.7,14:37.3,27:57.6,43:24.4
