,delivery_id,customer_id,courier_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_courier_arrived_at_pickup,when_the_courier_left_pickup,when_the_courier_arrived_at_dropoff,distance_crossed,courrier_timing
847,1277049,253195,132101,truck,Jack's Wife Freda,Mediterranean,Vegetable Curry Bowl,1,Entrees,05:56.0,40.72198995,-73.9977479,40.684756,-74.003615,39:26.8,47:54.8,08:14.3,34:59.9,4.164386246,35:13.6
848,1401023,80434,149651,bicycle,Bareburger,Burger,Mexican,2,Bare Salads,05:41.7,40.7684888,-73.95518219,40.768425,-73.960552,13:04.3,14:04.3,40:53.8,47:44.3,0.453422651,07:50.5
864,1351205,148649,3296,bicycle,Blue Ribbon Sushi,Japanese,Miso,1,Osuimono (Soups),10:10.9,40.72610966,-74.00249186,40.7209315,-74.0020702,30:00.1,44:27.7,10:48.5,15:52.4,0.576129697,19:31.5
865,1289729,52832,32580,bicycle,Donburi-ya,Japanese,Idaho Potato Croquette,1,Fried,07:48.5,40.75446491,-73.9731457,40.778028,-73.953851,00:46:31,54:01.8,00:46:36,57:49.5,3.082346898,18:44.3
867,1294671,272367,138061,car,Chola Eclectic Indian Cuisine,Indian,Plain Rice,2,Rice & Rice Specials,06:22.2,40.7603325,-73.96586221,40.777008,-73.961196,00:47:48,48:26.5,00:19:54,30:24.9,1.893247844,11:09.4
869,1369239,107763,148266,car,BLT Prime,Steak,Tuna Tartare,1,Appetizers,10:39.8,40.73930573,-73.98625987,40.7385966,-73.983658,08:58.5,10:06.2,38:55.7,44:38.6,0.233452805,06:50.6
870,1482012,79255,154990,bicycle,The Meatball Shop,Italian,Classic Beef Hero,1,Heroes,10:49.6,40.74596311,-74.00169729,40.7436352,-74.0063309,20:56.6,00:43:43,00:49:33,54:55.6,0.469023284,28:09.0
880,1341402,373523,111793,car,Tamarind TriBeCa,Indian,Aloo Tikkiyas,1,Appetizers (Aagaz),08:40.4,40.71926893,-74.00874988,40.7186175,-74.0047742,21:18.9,37:12.7,10:24.8,15:56.9,0.343612567,21:25.9
886,1415846,125123,72480,car,Peacefood Cafe,Vegan,Strawberry Shortcake (Seasonal),1,Desserts & Bakery,07:39.1,40.73330118,-73.99298592,40.7467644,-73.9903014,04:50.3,00:23:20,32:10.3,00:43:01,1.512172452,29:20.4
890,1409735,388420,54954,bicycle,Sushi of Gari 46,Sushi,Tuna Sushi,2,Sushi,03:40.1,40.76065444,-73.98958275,40.77438067,-73.99038995,10:22.9,27:10.8,37:23.3,52:50.5,1.525812637,32:15.1
893,1481577,176622,3296,bicycle,Cafe Mogador,Middle Eastern,Chicken,1,Grill,08:55.3,40.727293,-73.984517,40.72916455,-73.97926418,37:29.4,41:05.9,06:25.8,10:13.5,0.490015444,07:24.2
895,1319803,264707,123581,bicycle,TAO,Japanese,Sugar Dusted Doughnuts,1,Desserts,03:01.1,40.76285776,-73.971619,40.7412607,-74.0002077,09:22.6,27:37.8,37:57.8,56:26.3,3.403069749,36:43.7
902,1360651,116293,105468,bicycle,Butter Lane,Bakery,Chocolate Cupcake,1,Cupcakes,20:43.2,40.72631561,-73.98433685,40.7275977,-74.0051425,00:47.9,11:44.2,19:03.7,37:45.8,1.763447822,29:38.4
907,1387756,149200,149328,car,Parm,Italian,Italian Combo Hero,1,Sandwiches,05:32.8,40.72301983,-73.995854,40.732987,-73.987802,03:07.2,17:51.4,25:49.6,00:33:09,1.299159195,22:03.6
908,1289248,152353,83117,bicycle,Forcella,Pizza,Funghi,1,Classic Pizza,05:02.9,40.74246164,-73.98495136,40.7369004,-73.994162,00:03:12,05:11.7,17:44.9,31:36.8,0.993299864,15:51.6
910,1449176,397138,154377,car,Red Bamboo,Vegetarian,Garlic Mashed Potatoes,1,Sides,13:01.4,40.731383,-74.000286,40.70654209,-74.01004249,40:30.4,51:51.2,17:40.6,50:35.2,2.879081431,44:15.4
916,1367848,143866,99219,bicycle,Jack's Wife Freda,Mediterranean,Mint Lemonade,1,Drinks,03:19.0,40.72198995,-73.9977479,40.71745969,-74.00554648,00:53:35,54:47.4,11:08.2,19:09.4,0.829002893,09:13.6
919,1475972,103970,151208,bicycle,RedFarm Broadway,Chinese,Soft & Crunchy Vegetable Fried Rice,1,Rice & Noodles,08:03.6,40.7821167,-73.9807391,40.7792972,-73.988007,43:48.3,49:22.3,07:42.2,15:59.3,0.688786536,13:51.1
921,1345462,361846,96669,bicycle,Sarabeth's West,American,Farmer's Omelette,1,Eggs & Omelettes,09:03.5,40.78398734,-73.97784624,40.77222835,-73.986189,00:59:11,59:50.4,29:56.5,40:24.2,1.483640632,11:07.1
929,1346192,55334,62860,bicycle,Blue Ribbon Sushi,Japanese,Shime Saba Shiraeta Konbu,1,Hakozushi (Box Sushi),07:13.6,40.72610966,-74.00249186,40.723324,-73.991335,20:16.4,00:28:16,00:44:20,52:41.3,0.992042731,16:20.9
933,1276856,327651,20962,walker,Donburi-ya,Japanese,Kurobuta Sausage,1,Grilled & Sauteed,02:54.8,40.75446491,-73.9731457,40.77526372,-73.98975963,05:24.3,13:07.5,23:26.9,42:19.2,2.702306071,26:35.5
934,1420682,114085,60761,bicycle,The Meatball Shop,Italian,Chicken,1,Naked Balls,06:46.5,40.74596311,-74.00169729,40.7442036,-73.9853586,26:27.6,36:38.9,50:12.5,59:10.4,1.393705813,19:09.2
935,1310036,365401,146510,bicycle,Dirty Bird To Go (archived),American,Cole Slaw,1,Sides,05:27.2,40.7389171,-74.00034298,40.76795044,-73.98342066,29:37.4,37:34.4,04:15.5,11:37.7,3.526641006,15:19.2
936,1389157,42052,122837,bicycle,Pepe Rosso To Go,Italian,Fusilli with Seasonal Vegetables,1,Paste,03:22.4,40.727282,-74.001756,40.74745,-74.002486,13:25.3,17:28.6,25:44.4,00:42:09,2.240481581,20:27.9
941,1297163,121663,142140,car,Bubby's ,American,Chocolate Chip,2,Cookies,02:54.1,40.71996602,-74.0085433,40.73863802,-74.00186734,44:19.2,00:55:37,09:57.1,23:39.6,2.148830786,25:00.3
944,1460674,361220,108297,bicycle,Carmine's,Italian,Veal Parmigiana,1,Veal,03:56.9,40.75759514,-73.98686886,40.7467444,-73.9820939,25:37.8,27:22.2,41:21.9,54:02.3,1.270647875,14:24.8
951,1459327,167986,152741,car,Serafina Fabulous Pizza,Italian,Penne Alla Stolichnaya,1,Pasta,07:11.5,40.77608319,-73.96217158,40.7778882,-73.9594553,30:49.4,35:37.5,52:50.4,00:59:07,0.304562717,11:04.7
962,1392279,385350,39733,bicycle,Blue Ribbon Sushi,Japanese,Maguro,2,Taiseyo (Atlantic Ocean),05:05.6,40.72610966,-74.00249186,40.7451708,-73.9952138,00:22:32,48:27.1,03:47.3,19:46.6,2.204188162,41:54.4
969,1470388,336162,79847,bicycle,Nobu Next Door,Sushi,Salmon Tartar,1,Dinner Cold Dishes,07:01.7,40.71938641,-74.0086925,40.7199811,-74.0107642,40:14.8,57:35.3,00:23:25,24:54.8,0.187082702,18:50.3
970,1310443,94700,108647,bicycle,Tamarind TriBeCa,Indian,Roti,2,Roti Breads,04:40.3,40.71926893,-74.00874988,40.7324282,-74.0080594,08:45.2,16:35.6,27:25.3,42:10.4,1.46248251,22:35.5
971,1311185,120833,124602,car,Bareburger,Burger,Barest Burger,1,Bareburgers,05:58.1,40.74613121,-73.9781034,40.7419646,-73.9861859,15:33.5,30:43.4,37:36.7,41:51.9,0.824678925,19:25.1
983,1382655,381020,116881,bicycle,RedFarm Broadway,Chinese,Pan-Fried Pork Buns (4),1,Dim Sum,15:49.8,40.7821167,-73.9807391,40.77056986,-73.96303255,27:27.7,00:46:11,06:57.5,23:32.7,1.96940426,35:18.5
