,delivery_id,customer_id,courier_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_courier_arrived_at_pickup,when_the_courier_left_pickup,when_the_courier_arrived_at_dropoff,distance_crossed,courrier_timing
1518,1474535,402060,157086,car,Blue Ribbon Sushi Izakaya,Japanese,Yama Gobo,1,Yasai (Vegetable Rolls),06:28.3,40.72197958,-73.98814821,40.7203184,-73.994875,05:12.4,12:23.5,35:16.5,45:31.1,0.597526659,17:25.7
1523,1368206,79215,61900,bicycle,Blue Ribbon Sushi,Japanese,House Salad,2,Salads,14:36.9,40.72610966,-74.00249186,40.7220335,-74.0012856,26:54.6,39:48.3,00:17:08,00:22:43,0.46398219,18:28.7
1528,1482039,301618,22502,bicycle,Vanessa's Dumplings,Chinese,Chives & Pork Dumplings,4,Pan Fried,06:32.3,40.7329359,-73.98644352,40.730835,-73.9952208,22:32.6,23:37.5,36:18.6,46:23.7,0.777300783,11:10.0
1530,1320003,209179,30774,bicycle,RedFarm Broadway,Chinese,Katz�۪s Pastrami Egg Roll,1,Starters & Salads,03:40.9,40.7821167,-73.9807391,40.788165,-73.977452,39:09.7,53:26.6,16:15.9,23:07.3,0.726713496,21:08.3
1532,1278811,151789,138560,bicycle,sweetgreen,Salad,Earth Bowl,1,Signatures,09:22.0,40.74507859,-73.98882151,40.7506213,-73.9862915,08:20.6,34:01.2,42:20.8,47:22.4,0.651545467,30:42.2
1542,1369210,117810,156557,car,Momoya,Sushi,Spicy Shrimp Tempura,1,Hot Appetizer,05:14.2,40.78407726,-73.97762241,40.7843123,-73.951934,05:37.8,14:53.7,26:14.5,37:21.1,2.16849021,20:22.5
1550,1392463,42832,37696,bicycle,5 Napkin Burger,Burger,Hand Cut Fries,3,Sides,04:57.3,40.7332304,-73.98759305,40.733381,-73.993585,37:52.2,00:54:10,14:01.1,20:15.5,0.506436596,22:32.2
1551,1489327,200074,104989,bicycle,Osteria Morini,Italian,Gramigna,1,Pasta,07:14.4,40.72195256,-73.997737,40.7255003,-74.0090733,52:18.2,54:26.2,00:17:46,31:31.4,1.035617959,15:53.4
1561,1387544,336629,161485,bicycle,Sarabeth's Tribeca,Breakfast,Four Flowers Juice,1,Fruity Beginnings,02:57.7,40.71819429,-74.01055746,40.7167197,-74.0122998,13:50.9,00:18:05,31:55.3,00:36:15,0.220197656,08:33.8
1570,1295398,35993,151761,bicycle,Mira Sushi,Sushi,Crispy Shrimp Roll,1,Classic House Rolls,02:40.0,40.74185154,-73.99241567,40.750534,-73.996755,35:29.5,45:00.1,00:18.5,00:13:10,1.031481047,22:22.1
1572,1415595,351799,44356,bicycle,Sushi of Gari Tribeca,Japanese,Chirashi,1,From Sushi Bar,05:36.6,40.71672576,-74.00825065,40.7101846,-74.0176786,30:19.1,50:27.6,08:46.2,00:18:51,1.078092237,30:13.3
1573,1436763,77544,43196,bicycle,Bareburger,Burger,Fresh Cut French Fries,1,Bare Snacks,04:01.4,40.7684888,-73.95518219,40.7590487,-73.9653921,04:29.5,08:34.4,25:21.4,33:49.7,1.357253491,12:33.2
1577,1317856,65779,9476,bicycle,The Kati Roll Company,Indian,Unda Aloo Roll,1,Rolls,14:59.6,40.7527676,-73.98493767,40.75593981,-73.99639128,19:53.5,00:29:19,43:42.5,51:49.4,1.029373773,17:32.4
1580,1306214,67487,123581,bicycle,Blue Ribbon Sushi,Japanese,Sake Ikura,1,Maki (Special Rolls),11:05.4,40.72610966,-74.00249186,40.7110547,-74.0054923,23:34.5,59:02.6,07:53.1,23:02.2,1.690942204,50:37.2
1585,1462944,390436,52502,bicycle,Blue Ribbon Sushi,Japanese,House Salad,1,Salads,05:36.1,40.72610966,-74.00249186,40.735294,-74.003609,45:53.6,00:59:59,24:26.5,35:47.1,1.024265908,25:26.0
1590,1470836,134058,154545,bicycle,The Meatball Shop,Italian,Daily Roast Veggies,1,Green Market,05:19.0,40.72154512,-73.98884243,40.72803678,-74.00170877,32:42.7,43:03.1,49:23.5,57:43.6,1.304321798,18:40.5
1591,1293696,87151,104146,van,sweetgreen,Salad,Organic Lentil + Chickpea Soup,1,Soup,06:29.2,40.72132319,-74.00973201,40.723361,-73.999911,16:59.1,56:35.5,02:55.5,13:27.9,0.860055407,50:08.8
1594,1394990,43636,53095,bicycle,The Meatball Shop,American,Chicken Smash,1,Smash,05:00.5,40.73613088,-74.0006483,40.7520764,-74.0010156,03:31.3,18:49.7,24:51.9,37:48.3,1.771005213,28:14.8
1595,1342115,365525,158791,car,Serafina Fabulous Pizza,Italian,Gnocchi ���Di Mamma�۝,1,Pasta,08:42.6,40.77608319,-73.96217158,40.7668117,-73.9620469,29:55.5,42:59.4,51:49.3,58:46.2,1.029648067,20:00.8
1597,1475574,99685,138061,car,RedFarm Broadway,Chinese,Mushroom & Vegetable Spring Rolls,1,Starters & Salads,06:15.4,40.7821167,-73.9807391,40.7821548,-73.9582185,00:00:21,15:19.3,25:11.5,41:27.7,1.901004847,31:14.5
1599,1488246,64963,157086,car,The Palm Too,Steak,Jumbo Shrimp Cocktail,1,Dinner Appetizers,10:24.8,40.75157468,-73.97091304,40.77037,-73.966006,00:50.3,25:24.8,35:59.4,55:44.6,2.12793624,44:19.7
1605,1319910,108046,93783,bicycle,Rubirosa,Italian,Small Vodka,1,Pizza,02:44.7,40.72274859,-73.99606192,40.7108333,-74.0055556,25:08.6,25:14.3,44:34.9,00:57:26,1.547337612,12:56.8
1609,1347238,113507,69993,bicycle,Parm,Italian,String Beans Oreganata,2,Vegetables,10:08.5,40.72301983,-73.995854,40.7372808,-73.9912342,50:00.4,00:51:22,18:42.2,26:34.1,1.631041174,09:13.5
1613,1450709,317904,35973,bicycle,Rubirosa,Italian,Mixed Green,1,Insalata,03:34.8,40.72274859,-73.99606192,40.733975,-73.992395,47:27.6,58:47.4,15:37.7,22:16.9,1.28458914,17:59.0
1618,1325325,363783,86938,car,TAO,Japanese,Chicken Gyoza with Napa Cabbage and Soy Dipping Sauce,1,Dumplings,03:20.8,40.76285776,-73.971619,40.7605599,-73.9990525,28:14.6,48:24.2,03:13.2,27:25.3,2.3304279,44:21.7
1626,1322803,256852,128139,car,Olea,Mediterranean,Lentil Salad,1,Main Lunch Menu,08:12.2,40.687689,-73.970745,40.6880925,-73.9792735,41:56.2,45:18.4,00:07.3,00:09:12,0.722312157,12:26.9
1633,1311664,115231,104533,bicycle,Izakaya Ten,Japanese,Buta Kimchee,1,Most Popular Dishes,08:04.9,40.74721709,-74.00456083,40.77744772,-73.97557245,31:20.7,00:34:39,00:07:45,10:32.9,4.154660971,06:06.2
1636,1475296,49086,28765,bicycle,Jack's Wife Freda,Mediterranean,Peri Peri Chicken,1,Entrees,01:23.0,40.72198995,-73.9977479,40.7321536,-73.9885787,25:08.4,30:37.8,43:24.7,58:21.8,1.368910989,20:26.5
1643,1334140,107909,44356,bicycle,ilili Restaurant,Middle Eastern,Riz,1,Vegetables,05:31.0,40.74418795,-73.98753094,40.7342199,-73.9902554,12:06.6,36:56.6,44:15.6,52:45.2,1.130608148,33:19.6
1646,1412044,50633,162381,van,Serafina Fabulous Pizza,Italian,Carciofi E Parmigiano,1,Insalate,07:33.4,40.77608319,-73.96217158,40.7667297,-73.9561113,14:54.3,00:23:18,00:30:38,42:23.2,1.15787484,20:08.9
1649,1301362,363245,71148,bicycle,Luke's Lobster,Seafood,Taste of Maine,1,Rolls,03:26.9,40.726823,-73.98547098,40.7342506,-73.9902123,46:17.2,54:21.9,04:12.3,13:03.9,0.91693116,16:56.3
1660,1475023,164529,167596,bicycle,Blue Ribbon Sushi,Japanese,Kanpachi,1,Taiheiyo (Pacific Ocean),02:00.7,40.72610966,-74.00249186,40.7204295,-73.984641,43:11.9,59:48.4,11:19.8,22:10.7,1.634744594,27:27.4
1661,1285276,298583,41959,bicycle,sweetgreen,Salad,Spicy Sabzi (vegan),1,Signatures,02:34.9,40.74507859,-73.98882151,40.728564,-73.9951237,02:34.6,15:51.1,27:11.9,40:38.6,1.909625375,26:43.2
1667,1474815,398930,125504,bicycle,RedFarm Broadway,Chinese,Diced Tuna with Crispy Noodles,1,Starters & Salads,04:02.4,40.7821167,-73.9807391,40.7900392,-73.953884,02:02.9,12:13.2,39:02.4,50:01.6,2.431497731,21:09.5
1679,1423237,144851,100390,bicycle,Benihana,Japanese,Hibachi Chicken Rice,2,Side Orders,13:58.3,40.76316588,-73.97701978,40.7521903,-73.9778279,06:14.2,00:34:19,00:45:26,55:45.7,1.220738479,38:24.5
1681,1322831,242,91807,walker,Bareburger,Burger,Classic,1,Bareburgers,04:57.1,40.74204545,-74.0007619,40.7521725,-74.0051432,48:03.8,53:39.6,15:33.9,28:21.8,1.183909948,18:23.7
1686,1398254,70001,140794,walker,J. G. Melon,Burger,Chili,1,Main Menu,07:12.6,40.77113521,-73.9596231,40.7704492,-73.9577275,15:37.4,21:19.2,35:13.1,36:09.8,0.17724467,06:38.5
1697,1422727,391746,34667,bicycle,Blue Ribbon Sushi,Japanese,Binnaga,2,Taiheiyo (Pacific Ocean),08:08.1,40.72610966,-74.00249186,40.7274345,-74.0059484,00:10:20,25:27.7,32:48.5,39:02.8,0.32698181,21:22.0
1699,1405539,81828,105468,bicycle,The Meatball Shop,American,Chicken,1,Naked Balls,31:55.6,40.73613088,-74.0006483,40.72530703,-73.99445242,20:29.4,46:49.7,05:35.4,14:49.5,1.310991234,35:34.4
1700,1360855,315075,43955,bicycle,Taim Falafel and Smoothie Bar,Food Truck,Hummus & Falafel Side,1,Salads & Sides,04:39.2,40.73595141,-74.00176042,40.75185599,-73.99453701,00:16.8,11:55.8,16:45.5,28:29.8,1.868589201,23:23.3
1707,1369655,327651,151467,bicycle,Pio Pio,South American,Juanita's Chicken,1,De Fondo,03:56.6,40.76040697,-73.99489403,40.77526372,-73.98975963,50:53.5,57:35.1,05:18.4,22:07.4,1.705833913,23:30.6
1710,1371397,349206,156557,car,French Roast,French,Spicy Buffalo Chicken Wings,1,Appetizers,10:48.0,40.78761311,-73.97712309,40.782797,-73.984308,37:07.1,43:41.1,02:31.7,10:02.4,0.808601808,14:04.7
1720,1372435,342515,144068,bicycle,Five Guys Burgers and Fries,Burger,Cheese Dog,1,Dogs,07:49.3,40.751681,-73.974069,40.7658681,-73.9631906,08:16.9,27:24.2,36:45.1,45:48.6,1.823703336,28:10.8
1721,1382800,77341,119839,bicycle,The Meatball Shop,Italian,Market Salad,1,Green Market,11:40.1,40.74596311,-74.00169729,40.7448369,-73.9919763,40:04.9,00:46:03,05:53.1,13:02.8,0.830487199,13:07.8
1731,1440604,47280,34667,bicycle,Blue Ribbon Sushi,Japanese,Uni,1,Taiheiyo (Pacific Ocean),04:38.7,40.72610966,-74.00249186,40.724888,-74.010099,13:12.8,18:22.5,43:43.1,54:25.8,0.656838767,15:52.4
1733,1357774,208020,139444,bicycle,Sushi of Gari 46,Sushi,Kani Shumai,1,Appetizers,24:56.1,40.76065444,-73.98958275,40.7470189,-73.99092197,07:14.9,17:49.8,44:16.6,58:23.2,1.518432661,24:41.5
1735,1436294,123504,60761,bicycle,sweetgreen,Salad,Organic Lentil Chickpea (Small),1,Soup,02:57.7,40.74507859,-73.98882151,40.7417398,-73.9968328,53:59.2,54:55.2,11:45.8,19:03.8,0.77156298,08:14.0
1743,1332846,111218,138061,car,Melt Shop,American,Truffle Melt,1,Sandwiches,10:16.4,40.74460714,-73.99074197,40.7736712,-73.9583353,13:47.3,48:35.2,00:27.8,19:55.4,4.231447232,54:15.5
1757,1372722,47594,164202,bicycle,California Pizza Kitchen,Pizza,Key Lime Pie,1,Desserts,06:27.3,40.74466624,-73.98334441,40.780774,-73.9542921,47:15.8,53:05.4,21:54.5,54:21.1,4.700592215,38:16.2
1774,1288823,285774,48603,bicycle,Blue Ribbon Sushi,Japanese,Shumai,1,Appetizers,12:46.8,40.72610966,-74.00249186,40.71104565,-74.00554847,18:02.5,37:23.8,00:05:47,00:12:29,1.692653456,26:03.3
1780,1431687,270525,133293,bicycle,The Smile,American,Balsamic Chicken,1,Entrees,20:49.7,40.72641318,-73.99382114,40.7260641,-73.9897793,10:17.2,34:49.4,01:12.6,07:16.4,0.343657441,30:36.0
1789,1362218,110628,86938,car,Hatsuhana,Sushi,Sushi Special (10pcs & 1 Roll),1,Sushi & Sashimi Entrees,18:34.6,40.75695307,-73.97723214,40.7644388,-73.9733545,19:37.2,33:05.3,03:28.6,20:01.2,0.893443092,30:00.7
1791,1348027,109987,154377,car,Momoya,Sushi,Momoya Spicy Tuna,1,Signature Roll,17:09.4,40.78407726,-73.97762241,40.7760661,-73.9443896,26:56.3,38:44.1,13:05.8,33:58.6,2.943005956,32:40.6
1793,1391347,41409,35445,bicycle,Nobu Next Door,Sushi,Sashimi Salad,2,Dinner Cold Dishes,07:58.4,40.71938641,-74.0086925,40.7217556,-74.0040349,10:28.4,41:01.6,02:32.3,08:04.8,0.473366296,36:05.7
1802,1324575,52832,69993,bicycle,Han Dynasty,Chinese,Dry Pepper Style,1,Entrees,03:12.3,40.732213,-73.988072,40.776967,-73.956245,11:43.5,20:29.3,29:18.3,49:20.1,5.650085148,28:47.6
1809,1345012,327527,91807,walker,Parm,Italian,Meatball Parm,1,Sandwiches,08:46.8,40.72301983,-73.995854,40.73392493,-73.99503395,50:42.6,58:56.9,15:47.4,24:52.5,1.212976733,17:19.4
1811,1299168,270525,60761,bicycle,The Smile,American,Buckwheat Waffles,1,Plates & Sandwiches,02:12.9,40.72641318,-73.99382114,40.7260641,-73.9897793,15:03.3,15:28.7,33:16.1,39:49.6,0.343657441,06:58.9
1812,1469557,110792,154955,bicycle,Blue Ribbon Sushi,Japanese,Miso,1,Osuimono (Soups),04:34.5,40.72610966,-74.00249186,40.734203,-73.996025,30:37.9,55:36.1,10:26.7,19:40.5,1.051764085,34:12.0
1826,1362496,62359,104989,bicycle,Pylos,Mediterranean,Melitzanosalata,1,Mezethes (Appetizers served cold),06:11.0,40.726269,-73.984062,40.72478,-73.980463,04:34.1,08:41.6,41:01.6,44:52.7,0.346107829,07:58.6
1835,1412602,222443,123581,bicycle,Carnegie Deli,Deli,Baked Meatloaf,1,West Side Specialties,02:29.9,40.76413503,-73.98119223,40.767588,-73.983148,39:30.2,56:50.2,02:40.2,09:22.7,0.417494867,24:02.5
1840,1362282,157578,7833,bicycle,P.J. Clarke's,American,Simply On A Bun,1,P.J. Clarke's Hamburgers,08:58.4,40.75893876,-73.96853113,40.7679804,-73.9648903,33:35.3,44:55.8,05:14.6,12:04.8,1.050074494,18:10.7
1841,1462275,47280,123581,bicycle,RedFarm Hudson,Chinese,Seared Pork & Shrimp Dumplings (4),1,Dim Sum,04:44.6,40.73421385,-74.00620203,40.724888,-74.010099,13:23.9,57:28.1,04:47.8,11:09.1,1.086689561,50:25.5
1842,1279251,139755,99219,bicycle,Tortaria,Mexican,Chef Alfredo's Taquito Platter (4 taquitos),1,Taquitos,13:15.5,40.7338442,-73.99309158,40.735318,-73.988473,00:40:43,52:47.3,04:37.2,09:23.3,0.423077762,16:50.4
1851,1292684,347263,114469,bicycle,Blossom Restaurant,Vegetarian,Field Green,1,Salads,27:06.3,40.74540596,-74.002022,40.7356342,-74.0050767,23:25.2,52:34.4,23:46.2,29:42.9,1.115395172,35:05.9
1855,1300541,87151,61900,bicycle,Rubirosa,Italian,Small Classic,1,Pizza,11:22.5,40.72274859,-73.99606192,40.723361,-73.999911,21:14.1,42:02.3,52:22.2,56:40.2,0.332229775,25:06.2
1857,1461583,152919,19432,car,Vanessa's Dumpling House,Chinese,Cabbage and Pork,3,New Steamed Buns,05:02.1,40.713816,-73.961732,40.74587292,-73.99466654,00:31:04,50:16.5,05:06.6,31:08.1,4.518138846,45:14.0
1863,1324784,165695,65763,bicycle,The Smile,American,Moroccan Lamb Meatballs,1,Starters & Share Plates,04:00.2,40.72641318,-73.99382114,40.724037,-74.00264,03:15.6,00:11:55,30:46.1,38:42.2,0.790396396,16:35.5
1865,1470636,70193,152741,car,TAO,Japanese,Crispy Orange Chicken,2,From the Sky,05:11.5,40.76285776,-73.971619,40.7718956,-73.9520593,11:12.5,14:16.9,37:13.8,00:45:49,1.932493729,11:39.6
1868,1488086,351076,30743,bicycle,California Pizza Kitchen,Pizza,Tortilla Spring Rolls,1,Appetizers,11:37.0,40.74466624,-73.98334441,40.7640334,-73.9770219,43:39.9,50:31.1,15:13.2,37:00.1,2.215988727,28:38.1
1876,1428512,49793,99219,bicycle,Yama Japanese Restaurant,Japanese,Spicy Tuna,1,Rolls,08:10.7,40.73587229,-73.98766462,40.7394489,-73.9872059,00:55:51,58:12.7,14:03.2,00:18:06,0.399063923,06:24.5
1883,1461207,71922,158758,car,Pio Pio,South American,Peruvian Combo,1,De Fondo,08:29.2,40.76040697,-73.99489403,40.7179615,-74.0110788,08:29.1,25:56.4,35:58.1,57:31.4,4.907763595,39:00.6
1886,1296082,140479,99219,bicycle,Lure Fishbar,Seafood,Yellowtail Scallion,1,Rolls: Cut or Hand,06:09.5,40.72463457,-73.99840236,40.7281228,-73.999709,51:01.9,52:45.1,15:40.3,21:00.1,0.40278488,07:03.0
1893,1282272,97991,72941,bicycle,Blue Ribbon Sushi Bar & Grill,Japanese,Sake,1,Taiseyo (Atlantic Ocean),10:21.7,40.76765291,-73.98292546,40.74882755,-73.99013895,00:02:41,11:48.2,28:00.7,45:08.7,2.177474018,26:15.2
1900,1485852,342025,61900,bicycle,sweetgreen,Salad,Harvest Bowl,1,Signatures,05:49.2,40.72132319,-74.00973201,40.7195898,-73.9998334,00:13:26,54:30.8,01:14.5,16:41.4,0.858196095,56:31.7
1902,1273258,120353,30743,bicycle,Parm,Italian,House Roasted Turkey,1,Sandwiches,05:16.4,40.72301983,-73.995854,40.7062843,-74.016943,13:28.5,18:11.8,28:15.7,47:53.2,2.574727346,24:20.8
1914,1398254,70001,140794,walker,J. G. Melon,Burger,Bacon Cheeseburger,3,Main Menu,07:12.6,40.77113521,-73.9596231,40.7704492,-73.9577275,15:37.4,21:19.2,35:13.1,36:09.8,0.17724467,06:38.5
1916,1321249,50563,39733,bicycle,J. G. Melon,Burger,Cheeseburger,2,Main Menu,06:34.1,40.77113521,-73.9596231,40.785253,-73.956828,08:09.5,21:00.8,31:20.8,40:49.6,1.585431487,22:20.1
1926,1475631,61181,43196,bicycle,The Meatball Shop,Italian,Ice Cream Sandwich,1,Desserts,12:50.7,40.72154512,-73.98884243,40.739192,-73.987326,08:29.5,23:19.2,36:47.9,00:45:53,1.963845698,23:54.8
1936,1400812,333957,147789,car,Han Dynasty,Chinese,Pork Belly in Garlic Sauce,1,Cold Appetizers,05:09.6,40.732213,-73.988072,40.707282,-74.004775,00:00:35,00:16:39,25:30.3,50:28.6,3.107488241,41:02.3
1937,1400812,333957,147789,car,Han Dynasty,Chinese,String Beans with Minced Pork,1,Vegetables,05:09.6,40.732213,-73.988072,40.707282,-74.004775,00:00:35,00:16:39,25:30.3,50:28.6,3.107488241,41:02.3
1942,1481308,402215,54954,bicycle,RedFarm Hudson,Chinese,Soft & Crunchy Vegetable Fried Rice,1,Rice & Noodles,06:52.0,40.73421385,-74.00620203,40.72151289,-74.00924045,08:14.6,20:35.1,30:25.6,39:59.3,1.433591717,21:54.2
1943,1421261,76907,99219,bicycle,Han Dynasty,Chinese,Lo Mein,1,Kids/Baby Adults,08:54.6,40.732213,-73.988072,40.7205504,-73.992791,39:11.2,49:03.9,00:53.8,07:57.5,1.355087965,16:56.4
1950,1462169,66329,52502,bicycle,Lure Fishbar,Seafood,Shrimp Tempura,1,Rolls: Cut or Hand,05:50.6,40.72463457,-73.99840236,40.7213603,-74.0032077,07:58.2,40:28.5,49:48.5,55:11.4,0.545006222,37:53.2
1955,1403011,80795,16610,car,Socarrat Paella Bar,South American,Calamares A La Plancha,1,Tapas,24:24.1,40.72461029,-73.99517815,40.722769,-73.998027,05:35.4,36:04.2,19:24.4,23:36.7,0.315815033,34:41.1
1959,1374370,377260,148770,bicycle,sweetgreen,Salad,House Tea,1,Drinks,09:48.7,40.72132319,-74.00973201,40.7236764,-74.0107235,47:18.8,55:12.2,04:50.7,08:47.2,0.274418518,11:49.9
1966,1347582,96921,57186,bicycle,The Palm Too,Steak,Classic Caesar Salad,1,Dinner Salads,10:56.1,40.75157468,-73.97091304,40.769992,-73.959652,31:13.3,45:35.9,13:25.7,28:04.8,2.255463274,29:01.7
1967,1274791,59749,61162,bicycle,Bareburger,Burger,Barest Burger,1,Bareburgers,04:00.5,40.7684888,-73.95518219,40.784797,-73.953658,06:44.9,00:31:56,37:43.3,51:34.2,1.815584114,39:02.0
1974,1369236,121706,151467,bicycle,Anjappar Chettinad,Indian,Kuli Paniyaram,2,Starters,06:55.5,40.742596,-73.982808,40.756804,-73.9981532,07:12.8,09:03.1,36:24.2,54:36.6,2.041782164,20:02.7
1976,1449358,260680,7833,bicycle,Tamarind TriBeCa,Indian,Saag Paneer,1,Vegetarian Specialties,05:28.3,40.71926893,-74.00874988,40.7164323,-73.9909266,00:07.2,17:39.3,36:49.6,46:31.4,1.538533899,27:13.9
1979,1393394,47440,17402,bicycle,Bareburger,Burger,Barest Burger,1,Bareburgers,09:12.9,40.72847826,-73.99839184,40.7151704,-74.0116009,41:45.4,53:16.1,05:36.6,22:00.9,1.851868362,27:55.0
1983,1361214,62730,122837,bicycle,sweetgreen,Salad,House Tea,1,Drinks,07:10.2,40.72132319,-74.00973201,40.720116,-73.999297,00:49.6,13:25.1,00:24:43,33:06.8,0.891780441,20:59.3
1984,1390515,385033,154377,car,RedFarm Broadway,Chinese,Five Flavor Chicken Dumplings (4),1,Dim Sum,07:38.5,40.7821167,-73.9807391,40.7749992,-73.9574428,40:37.6,41:55.5,21:46.5,37:18.5,2.119475649,16:49.9
1987,1299047,82041,9549,bicycle,Jane Restaurant,Breakfast,Latte,1,Coffees,07:38.6,40.72717746,-74.00048375,40.720479,-74.001549,00:33:14,37:23.1,13:42.7,20:49.2,0.749279027,11:15.6
1994,1341861,39334,104533,bicycle,Old Homestead Steakhouse,Steak,"String Beans, Caramelized Onions, Pancetta",1,Side Offerings (dinner),05:29.7,40.74117178,-74.00488792,40.734397,-74.000786,03:26.8,17:34.3,35:23.5,43:06.5,0.828281939,21:50.5
1996,1303719,308651,128139,car,Blue Ribbon Brooklyn,American,Greek,1,Salads,05:25.7,40.67425095,-73.98229415,40.670584,-73.975624,44:06.1,51:55.7,05:15.7,11:03.3,0.695608784,13:37.2
2000,1392059,383826,158180,bicycle,Song Thai Restaurant & Bar,Thai,Spicy Squid Salad,1,Appetizers,05:27.7,40.67347806,-73.98262702,40.69459,-73.995491,06:07.4,00:19:04,32:55.1,49:03.2,2.584367321,29:04.7
2002,1283047,41672,72480,car,Otto Enoteca Pizzeria,Italian,Three Cheese,1,Cheese,05:05.0,40.73206376,-73.99615467,40.738804,-74.009342,13:17.6,28:48.7,42:38.1,59:19.6,1.342056185,32:12.6
2018,1302138,49034,39443,bicycle,The Grey Dog - University,Coffee,Arnold Palmer,1,Juice,03:35.3,40.73378729,-73.99303526,40.7247072,-73.981175,17:14.7,18:15.5,42:37.3,53:42.3,1.421482275,12:05.8
2028,1391093,146588,143261,bicycle,Sushi of Gari,Sushi,Miso,1,Soup,07:34.7,40.77156871,-73.95278683,40.7855606,-73.9546989,45:49.6,55:48.4,17:58.6,37:34.4,1.562155399,29:34.6
2032,1488446,54630,165094,bicycle,V-Nam Cafe,Vietnamese,Vermicelli Spring Roll,1,Rice Vermicelli Noodles,11:18.7,40.72350568,-73.98831444,40.727323,-73.991729,00:23:19,34:32.3,45:20.4,50:49.1,0.512752416,16:42.0
2033,1451591,397588,46602,bicycle,Kanoyama,Sushi,Sashimi Delux,1,Sushi bar,07:52.2,40.730391,-73.98638613,40.7392097,-73.9824803,41:45.6,55:49.8,12:17.7,21:18.6,1.03338995,23:05.1
2039,1275452,76942,86938,car,California Pizza Kitchen,Pizza,Five Cheese and Fresh Tomato,1,Original Hand-Tossed Pizzas,06:47.3,40.74466624,-73.98334441,40.7520764,-74.0010156,27:43.2,52:51.9,07:44.2,00:22:04,1.704239933,39:28.5
2048,1372378,304291,10940,bicycle,P.J. Clarke's,American,Shoestring Fries,1,Sides,03:45.1,40.77196187,-73.98262024,40.75094645,-73.98795924,02:01.8,08:25.3,00:17:21,40:39.7,2.376891014,29:42.2
2057,1439053,86449,142394,bicycle,The Meatball Shop,Italian,Saut̩ed Broccoli,1,Green Market,02:04.8,40.72154512,-73.98884243,40.725785,-73.999426,50:29.3,56:16.8,05:35.8,11:22.4,1.010546368,11:34.1
2064,1480155,332635,23359,bicycle,TAO,Japanese,TAO Lo Mein with Roast Pork,1,Sophisticated Noodles and Rice,06:48.5,40.76285776,-73.971619,40.73324983,-73.99608884,16:26.4,00:30:43,38:03.3,52:45.5,3.883466125,28:58.8
2065,1464966,259341,158962,bicycle,Joe's Shanghai �_�������,Chinese,Crab Meat with Pork Soup Dumplings,3,Appetizers,06:07.9,40.71464248,-73.99764195,40.727405,-73.991802,44:21.1,48:48.5,13:15.3,00:16:33,1.500692331,07:45.1
2067,1291052,9666,113563,bicycle,Carnegie Deli,Deli,Bowl of Cottage Cheese,1,Blintzes,02:16.9,40.76413503,-73.98119223,40.7671561,-73.9833115,49:27.3,56:35.5,19:49.8,32:04.9,0.380223597,19:23.3
2082,1388509,63890,23359,bicycle,2nd Ave Deli,Deli,Frankfurter,3,Franks and Knishes,06:36.5,40.74529931,-73.97913758,40.740429,-73.979466,08:23.6,41:49.4,49:40.4,56:22.8,0.541553635,40:08.2
2088,1308780,365244,22502,bicycle,Bareburger,Burger,Supreme,1,Bareburgers,04:20.2,40.67176012,-73.97760519,40.65214519,-73.95781196,01:11.5,07:25.8,22:45.3,40:11.5,2.747008784,23:40.5
2097,1340785,103503,119153,car,RedFarm Broadway,Chinese,Katz�۪s Pastrami Egg Roll,1,Starters & Salads,03:46.0,40.7821167,-73.9807391,40.78344912,-73.94764557,20:31.1,00:53:14,03:16.8,22:32.6,2.797367068,51:58.7
2101,1295408,103526,123581,bicycle,Carnegie Deli,Deli,Kasha Giant Knish,1,Frank & Knish Korner,04:47.8,40.76413503,-73.98119223,40.765634,-73.971029,37:20.9,56:33.3,11:51.7,19:26.3,0.874112598,26:47.0
2104,1349481,49631,139444,bicycle,The Meatball Shop,Italian,Special Ball Kitchen Sink Salad,1,The Kitchen Sink Salad,05:17.8,40.77149125,-73.95633415,40.763591,-73.964246,37:12.6,54:40.2,04:00.4,12:12.7,1.102682506,25:39.9
2105,1300910,53156,60761,bicycle,The Meatball Shop,Italian,Daily Risotto,1,Stick To Your Bones,09:58.4,40.72154512,-73.98884243,40.7321287,-73.9886136,01:57.5,06:18.9,21:09.3,27:27.3,1.175451057,10:39.4
2122,1411442,389155,90681,bicycle,The Meatball Shop,Italian,White Beans,1,Stick To Your Bones,06:33.6,40.74596311,-74.00169729,40.741901,-74.001361,16:00.8,16:54.8,39:14.3,44:12.4,0.45198641,05:52.1
2127,1313734,125510,140684,bicycle,Blue Ribbon Sushi Izakaya,Japanese,Dragon,1,Maki,05:52.2,40.72197958,-73.98814821,40.7261258,-73.9956614,23:45.3,30:52.3,43:13.2,51:00.9,0.784160924,14:54.7
2136,1302336,361728,133293,bicycle,The Meatball Shop,Italian,Chicken,1,Naked Balls,04:54.5,40.72154512,-73.98884243,40.7539767,-73.9650481,40:53.5,45:58.7,10:48.7,28:28.4,4.124347004,22:44.9
2139,1275484,51295,59989,car,Luke's Lobster,Seafood,Lobster Roll,1,Rolls,03:43.3,40.77483281,-73.9544744,40.76473026,-73.96462848,30:40.3,45:52.3,50:42.3,59:26.9,1.411931886,23:56.6
