,delivery_id,customer_id,courier_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_courier_arrived_at_pickup,when_the_courier_left_pickup,when_the_courier_arrived_at_dropoff,distance_crossed
3779,1387589,298824,142301,bicycle,Mile End Deli,Deli,Breakfast Sandwich,1.0,Breakfast Menu,08:53.9,40.72588469,-73.99244785,40.727405,-73.991802,00:26:53.100000,00:36:38.300000,00:48:57.600000,00:50:08.400000,0.17742627747673506
3783,1315385,183704,105468,bicycle,Lure Fishbar,Seafood,Brussels Sprouts,1.0,Dinner Sides,07:28.9,40.72463457,-73.99840236,40.73751918,-73.98083524,00:39:01.700000,00:44:43.300000,00:12:07.700000,00:26:53.600000,2.0614343251404152
3785,1415437,129289,163850,bicycle,2nd Ave Deli,Deli,Jewish Penicillin - Matzoh,2.0,Soups,07:52.7,40.74529931,-73.97913758,40.73357,-74.0065899,00:11:56,00:30:55.300000,00:38:11.900000,00:55:56.400000,2.6595689447695126
3803,1285031,342646,153257,bicycle,One Lucky Duck - Juice & Takeaway,Vegetarian,Banana Nut,1.0,Shakes,02:32.9,40.735725,-73.98712647,40.740766,-74.008443,00:10:59.400000,00:16:52.100000,00:24:42.100000,00:42:09.400000,1.8855611640917112
3805,1382785,198194,47204,bicycle,Prince Street Pizza,Pizza,Spicy Spring,1.0,The Original SOHO Squares,04:01.5,40.72307952,-73.99461508,40.75295927,-74.00387189,00:39:36.400000,00:43:15.800000,00:04:36.200000,00:29:11.100000,3.4089928057743544
3814,1362370,133222,125504,bicycle,P.J. Clarke's,American,Crisp Parmesan Tater Tots,1.0,Appetizers,08:05.4,40.75893876,-73.96853113,40.7462466,-73.9725283,00:48:07,00:53:09.500000,00:17:31.800000,00:29:07.600000,1.4493113438276817
3817,1329428,107909,79598,bicycle,Cafeteria,American,Cappuccino,1.0,Cafe,02:57.0,40.74052771,-73.99808251,40.7342199,-73.9902554,00:46:01.700000,00:50:58.400000,00:04:18.800000,00:13:28.100000,0.9632104230962686
3826,1321028,334619,101359,bicycle,Blue Ribbon Sushi Izakaya,Japanese,Shishito Peppers,1.0,Vegetables,03:11.2,40.72197958,-73.98814821,40.7394618,-73.9925543,00:43:33.900000,00:46:23,00:02:40.200000,00:13:45.300000,1.9767371724922937
3835,1323045,369430,128139,car,The Meatball Shop,Italian,Side of Ice Cream,1.0,Desserts,05:08.9,40.71811007,-73.95754527,40.7166297,-73.9644191,00:20:10.100000,00:27:12.500000,00:39:32.200000,00:45:30.700000,0.6036116401859977
3837,1301828,130507,89004,bicycle,Jack's Wife Freda,Mediterranean,Couscous,1.0,Sides,02:47.2,40.72198995,-73.9977479,40.74184,-74.002787,00:39:56.100000,00:48:01.100000,00:11:49.400000,00:25:16.200000,2.245048233980277
3839,1475887,123977,154990,bicycle,Blue Ribbon Sushi,Japanese,Sushi Deluxe,2.0,Platters,09:32.8,40.72610966,-74.00249186,40.713569,-73.9777409,00:32:59.700000,00:51:46.800000,00:31:31,00:45:06.600000,2.512487250004325
3842,1423048,327651,133322,car,Dinosaur Bar-B-Que,BBQ,"Sausage, Cheese & Crackers",1.0,Small & Shared Plates,25:18.7,40.8180821,-73.9609373,40.77526372,-73.98975963,00:47:37.600000,00:52:17.300000,00:23:25.700000,00:40:24.400000,5.34101569830252
3846,1311057,111356,104533,bicycle,Blue Ribbon Sushi,Japanese,California,1.0,Maki (Special Rolls),05:59.5,40.72610966,-74.00249186,40.7295147,-73.9971879,00:03:09.200000,00:10:21.300000,00:21:09.500000,00:27:07.900000,0.5863059062274102
3850,1410685,92996,34669,bicycle,Tamarind TriBeCa,Indian,Nan,1.0,Roti Breads,03:10.3,40.71926893,-74.00874988,40.7158065,-74.0118201,00:08:07.400000,00:22:55.200000,00:34:14.900000,00:39:14.100000,0.46382485622354824
3851,1458212,186473,114469,bicycle,Blue Ribbon Sushi,Japanese,Kaiso Moriawase,1.0,Salads,06:19.9,40.72610966,-74.00249186,40.7393847,-73.9924463,00:09:25.300000,00:14:06.200000,00:26:33.700000,00:39:07.300000,1.7009705871049214
3852,1302266,111129,122837,bicycle,The Grey Dog  - Chelsea,Coffee,Seared Tuna & Avocado Taco,1.0,Burgers & Entrees,04:01.9,40.740784,-74.000721,40.74875673,-73.99176076,00:30:47.900000,00:53:46.400000,00:01:36.400000,00:13:14.400000,1.1647198835027703
3853,1387450,68976,57186,bicycle,Sarabeth's East,American,Lemon & Ricotta Pancakes,1.0,Sweet Breakfast,01:50.1,40.78487734,-73.95592661,40.77426,-73.945871,00:44:27.100000,00:52:25.400000,00:01:15,00:11:49.200000,1.4528240280289468
